Species,MockCommunity,MinimumSeqQuality,Classifier,Database,F1_score,Recall,Precision
Tuber_brumale,Mock2,Qmin15,dnabarcoder,GSD,0.979700338,0.988298391,0.971250599
Wickerhamomyces_anomalus,Mock2,Qmin15,dnabarcoder,GSD,0.985759954,0.983188406,0.988344988
Yamadazyma_mexicana,Mock2,Qmin15,dnabarcoder,GSD,0.992125984,0.993785851,0.990471653
Yamadazyma_scolyti,Mock2,Qmin15,dnabarcoder,GSD,0.984802432,0.998319328,0.971646674
Yarrowia_lipolytica,Mock2,Qmin15,dnabarcoder,GSD,0.945190758,0.994347089,0.900665643
Zymoseptoria_tritici,Mock2,Qmin15,dnabarcoder,GSD,0.984446478,0.987155963,0.981751825
Aspergillus_flavus,Mock2,Qmin15,emu,GSD,0.630035017,0.770599063,0.532840266
Aspergillus_fumigatus,Mock2,Qmin15,emu,GSD,0.714687027,0.556041246,1
Asteroma_sp._CCL060,Mock2,Qmin15,emu,GSD,0.997172963,0.994361866,1
Austropuccinia_psidii,Mock2,Qmin15,emu,GSD,0.994155154,0.988378236,1
Blastobotrys_adeninivorans,Mock2,Qmin15,emu,GSD,0.994232442,0.997694081,0.990794742
Blastobotrys_proliferans,Mock2,Qmin15,emu,GSD,0.999541074,0.999082569,1
Botrytis_cinerea,Mock2,Qmin15,emu,GSD,0.998487794,0.996980155,1
Botrytis_fabae,Mock2,Qmin15,emu,GSD,0.987929434,0.976146789,1
Candida_boleticola,Mock2,Qmin15,emu,GSD,0.972695039,0.956386446,0.989569478
Candida_caryicola,Mock2,Qmin15,emu,GSD,0.888657185,0.988073394,0.807417853
Candida_catenulata,Mock2,Qmin15,emu,GSD,0.991183448,0.992951542,0.989421639
Candida_dubliniensis,Mock2,Qmin15,emu,GSD,0.999081726,0.998165138,1
Candida_glabrata,Mock2,Qmin15,emu,GSD,0.874387761,0.784397064,0.987702914
Candida_metapsilosis,Mock2,Qmin15,emu,GSD,0.9972116,0.999495714,0.994937902
