Species,MockCommunity,MinimumSeqQuality,Classifier,Database,F1_score,Recall,Precision
Kluyveromyces_lactis,Mock2,Qmin17,mycoAIBert,simNCBI,0.002022245,0.001144165,0.008695652
Kluyveromyces_marxianus,Mock2,Qmin17,mycoAIBert,simNCBI,0,0,0
Kodamaea_ohmeri,Mock2,Qmin17,mycoAIBert,simNCBI,0.148171206,0.339757316,0.094745223
Leptosphaeria_maculans,Mock2,Qmin17,mycoAIBert,simNCBI,0.035814607,0.026060296,0.057239057
Penicillium_chrysogenum,Mock2,Qmin17,mycoAIBert,simNCBI,0.194209891,0.202643172,0.186450492
Pichia_kudriavzevii,Mock2,Qmin17,mycoAIBert,simNCBI,0.001782531,0.000917431,0.03125
Pichia_membranifaciens,Mock2,Qmin17,mycoAIBert,simNCBI,0.006663494,0.003350084,0.608695652
Quambalaria_cyanescens,Mock2,Qmin17,mycoAIBert,simNCBI,0.533734422,0.395541401,0.820343461
Rhodotorula_mucilaginosa,Mock2,Qmin17,mycoAIBert,simNCBI,0,0,0
Scedosporium_aurantiacum,Mock2,Qmin17,mycoAIBert,simNCBI,0.027540984,0.03853211,0.021428571
Trichomonascus_ciferrii,Mock2,Qmin17,mycoAIBert,simNCBI,0.004166667,0.005355777,0.003409644
Trichosporon_asahii,Mock2,Qmin17,mycoAIBert,simNCBI,0.334371108,0.201425356,0.983516484
Tuber_brumale,Mock2,Qmin17,mycoAIBert,simNCBI,0.013686912,0.007801073,0.055749129
Wickerhamomyces_anomalus,Mock2,Qmin17,mycoAIBert,simNCBI,0.000843526,0.00057971,0.001547988
Yamadazyma_mexicana,Mock2,Qmin17,mycoAIBert,simNCBI,0.111561976,0.492829828,0.062900372
Yamadazyma_scolyti,Mock2,Qmin17,mycoAIBert,simNCBI,0,0,0
Yarrowia_lipolytica,Mock2,Qmin17,mycoAIBert,simNCBI,0.005759539,0.004522329,0.007928642
Zymoseptoria_tritici,Mock2,Qmin17,mycoAIBert,simNCBI,0.00397351,0.002752294,0.007142857
Aspergillus_flavus,Mock2,Qmin17,mycoAICNN,simNCBI,0.528543938,0.377981651,0.878464819
Aspergillus_fumigatus,Mock2,Qmin17,mycoAICNN,simNCBI,0.019824628,0.010077519,0.604651163
Blastobotrys_adeninivorans,Mock2,Qmin17,mycoAICNN,simNCBI,0.046372476,0.023827825,0.861111111
Blastobotrys_proliferans,Mock2,Qmin17,mycoAICNN,simNCBI,0.348344371,0.482568807,0.27253886
Candida_boleticola,Mock2,Qmin17,mycoAICNN,simNCBI,0.273662009,0.476146789,0.192008879
Candida_caryicola,Mock2,Qmin17,mycoAICNN,simNCBI,0.246331237,0.431192661,0.172413793
Candida_catenulata,Mock2,Qmin17,mycoAICNN,simNCBI,0.422153369,0.480176211,0.376641327
Candida_dubliniensis,Mock2,Qmin17,mycoAICNN,simNCBI,0.005444646,0.002752294,0.25
Candida_glabrata,Mock2,Qmin17,mycoAICNN,simNCBI,0.483620211,0.319164529,0.997709049
Candida_metapsilosis,Mock2,Qmin17,mycoAICNN,simNCBI,0.008008008,0.004034291,0.533333333
Candida_parapsilosis,Mock2,Qmin17,mycoAICNN,simNCBI,0.520730251,0.479572596,0.569615528
Candida_tropicalis,Mock2,Qmin17,mycoAICNN,simNCBI,0.365254539,0.224901359,0.971590909
Candida_zeylanoides,Mock2,Qmin17,mycoAICNN,simNCBI,0.030085023,0.015394913,0.657142857
Cryptococcus_gattii_VGI,Mock2,Qmin17,mycoAICNN,simNCBI,0,0,0
Cryptococcus_neoformans_VNIII,Mock2,Qmin17,mycoAICNN,simNCBI,0.105487805,0.063814091,0.304042179
Diplodia_seriata,Mock2,Qmin17,mycoAICNN,simNCBI,0.637777389,0.484985384,0.931122449
Fusarium_pseudograminearum,Mock2,Qmin17,mycoAICNN,simNCBI,0.082623778,0.055555556,0.161131611
Kluyveromyces_lactis,Mock2,Qmin17,mycoAICNN,simNCBI,0,0,0
Kluyveromyces_marxianus,Mock2,Qmin17,mycoAICNN,simNCBI,0.013080445,0.006743088,0.217391304
Kodamaea_ohmeri,Mock2,Qmin17,mycoAICNN,simNCBI,0.627737226,0.460385439,0.986238532
Leptosphaeria_maculans,Mock2,Qmin17,mycoAICNN,simNCBI,0.292055717,0.487480838,0.208479021
Penicillium_chrysogenum,Mock2,Qmin17,mycoAICNN,simNCBI,0.535310734,0.477029578,0.609814964
Pichia_kudriavzevii,Mock2,Qmin17,mycoAICNN,simNCBI,0.120884619,0.55412844,0.0678423
Pichia_membranifaciens,Mock2,Qmin17,mycoAICNN,simNCBI,0.502923977,0.401292175,0.673493976
Quambalaria_cyanescens,Mock2,Qmin17,mycoAICNN,simNCBI,0.011221945,0.005732484,0.264705882
Rhodotorula_mucilaginosa,Mock2,Qmin17,mycoAICNN,simNCBI,0.438925787,0.485312899,0.400632578
Scedosporium_aurantiacum,Mock2,Qmin17,mycoAICNN,simNCBI,0.061298077,0.046788991,0.088850174
Trichomonascus_ciferrii,Mock2,Qmin17,mycoAICNN,simNCBI,0.375261178,0.343534813,0.413443831
Trichosporon_asahii,Mock2,Qmin17,mycoAICNN,simNCBI,0.603314345,0.436984246,0.974080268
Tuber_brumale,Mock2,Qmin17,mycoAICNN,simNCBI,0.47698504,0.404193077,0.581754386
Wickerhamomyces_anomalus,Mock2,Qmin17,mycoAICNN,simNCBI,0.197629725,0.715362319,0.114652049
Yamadazyma_mexicana,Mock2,Qmin17,mycoAICNN,simNCBI,0.60566706,0.490439771,0.791666667
Yamadazyma_scolyti,Mock2,Qmin17,mycoAICNN,simNCBI,0.647590361,0.481792717,0.987370838
Yarrowia_lipolytica,Mock2,Qmin17,mycoAICNN,simNCBI,0.207482592,0.496890899,0.131115752
Zymoseptoria_tritici,Mock2,Qmin17,mycoAICNN,simNCBI,0.202318624,0.496330275,0.127054955
