Species,MockCommunity,MinimumSeqQuality,Classifier,Database,F1_score,Recall,Precision
Yarrowia_lipolytica,Mock2,Qmin17,kraken2,NCBI,0.937619177,0.972866026,0.904837014
Zymoseptoria_tritici,Mock2,Qmin17,kraken2,NCBI,0.97467167,0.953211009,0.997120921
Aspergillus_flavus,Mock2,Qmin17,dnabarcoder,NCBI,0.028933092,0.014678899,1
Aspergillus_fumigatus,Mock2,Qmin17,dnabarcoder,NCBI,0.035034273,0.017829457,1
Blastobotrys_adeninivorans,Mock2,Qmin17,dnabarcoder,NCBI,0.974238876,0.959262106,0.989690722
Blastobotrys_proliferans,Mock2,Qmin17,dnabarcoder,NCBI,0.976201587,0.959633028,0.993352327
Candida_boleticola,Mock2,Qmin17,dnabarcoder,NCBI,0.931707317,0.876146789,0.994791667
Candida_caryicola,Mock2,Qmin17,dnabarcoder,NCBI,0.959658282,0.927522936,0.994100295
Candida_catenulata,Mock2,Qmin17,dnabarcoder,NCBI,0.972122302,0.952422907,0.992653811
Candida_dubliniensis,Mock2,Qmin17,dnabarcoder,NCBI,0.968440886,0.943119266,0.995159729
Candida_glabrata,Mock2,Qmin17,dnabarcoder,NCBI,0.837159864,0.721509711,0.996962025
Candida_metapsilosis,Mock2,Qmin17,dnabarcoder,NCBI,0.005027652,0.002521432,0.833333333
Candida_parapsilosis,Mock2,Qmin17,dnabarcoder,NCBI,0.971713275,0.950031427,0.994407895
Candida_tropicalis,Mock2,Qmin17,dnabarcoder,NCBI,0.961582178,0.927224901,0.998583569
Candida_zeylanoides,Mock2,Qmin17,dnabarcoder,NCBI,0.973729103,0.955153949,0.993041058
Cryptococcus_gattii_VGI,Mock2,Qmin17,dnabarcoder,NCBI,0.475279978,0.311716231,1
Cryptococcus_neoformans_VNIII,Mock2,Qmin17,dnabarcoder,NCBI,0.886210419,0.800073774,0.993131868
Diplodia_seriata,Mock2,Qmin17,dnabarcoder,NCBI,0.945098039,0.896625033,0.999111638
Fusarium_pseudograminearum,Mock2,Qmin17,dnabarcoder,NCBI,0.961936194,0.927056828,0.999542753
Kluyveromyces_lactis,Mock2,Qmin17,dnabarcoder,NCBI,0,0,0
Kluyveromyces_marxianus,Mock2,Qmin17,dnabarcoder,NCBI,0.966632267,0.947403911,0.986657303
Kodamaea_ohmeri,Mock2,Qmin17,dnabarcoder,NCBI,0.976034858,0.959314775,0.993348115
Leptosphaeria_maculans,Mock2,Qmin17,dnabarcoder,NCBI,0.975202297,0.954522228,0.996798292
Penicillium_chrysogenum,Mock2,Qmin17,dnabarcoder,NCBI,0,0,0
Pichia_kudriavzevii,Mock2,Qmin17,dnabarcoder,NCBI,0.930971844,0.940366972,0.92176259
Pichia_membranifaciens,Mock2,Qmin17,dnabarcoder,NCBI,0.825989335,0.704235463,0.998642687
Quambalaria_cyanescens,Mock2,Qmin17,dnabarcoder,NCBI,0.908205841,0.831847134,1
Rhodotorula_mucilaginosa,Mock2,Qmin17,dnabarcoder,NCBI,0.883209088,0.794380587,0.994404476
Scedosporium_aurantiacum,Mock2,Qmin17,dnabarcoder,NCBI,0.933723197,0.878899083,0.995841996
Trichomonascus_ciferrii,Mock2,Qmin17,dnabarcoder,NCBI,0.093362509,0.0489671,1
Trichosporon_asahii,Mock2,Qmin17,dnabarcoder,NCBI,0.953593107,0.913353338,0.997541991
Tuber_brumale,Mock2,Qmin17,dnabarcoder,NCBI,0.844619275,0.732813262,0.99668435
Wickerhamomyces_anomalus,Mock2,Qmin17,dnabarcoder,NCBI,0.960288809,0.925217391,0.998123827
Yamadazyma_mexicana,Mock2,Qmin17,dnabarcoder,NCBI,0.976608187,0.95793499,0.996023857
Yamadazyma_scolyti,Mock2,Qmin17,dnabarcoder,NCBI,0.979160719,0.960784314,0.998253783
Yarrowia_lipolytica,Mock2,Qmin17,dnabarcoder,NCBI,0,0,0
Zymoseptoria_tritici,Mock2,Qmin17,dnabarcoder,NCBI,0.964962121,0.934862385,0.997064579
Aspergillus_flavus,Mock2,Qmin17,emu,NCBI,0,0,0
Aspergillus_fumigatus,Mock2,Qmin17,emu,NCBI,0.044741366,0.022882582,1
Blastobotrys_adeninivorans,Mock2,Qmin17,emu,NCBI,0.972713656,0.948332462,0.99838159
Blastobotrys_proliferans,Mock2,Qmin17,emu,NCBI,0.988399072,0.97706422,1
Candida_boleticola,Mock2,Qmin17,emu,NCBI,0.977283531,0.955576213,1
Candida_caryicola,Mock2,Qmin17,emu,NCBI,0.939557902,0.886819526,0.998965499
Candida_catenulata,Mock2,Qmin17,emu,NCBI,0.596917734,0.425807999,0.99793513
Candida_dubliniensis,Mock2,Qmin17,emu,NCBI,0.976148604,0.95340848,1
Candida_glabrata,Mock2,Qmin17,emu,NCBI,0.677392519,0.512539789,0.998572164
Candida_metapsilosis,Mock2,Qmin17,emu,NCBI,0,0,0
Candida_parapsilosis,Mock2,Qmin17,emu,NCBI,0.975243223,0.951682628,1
Candida_tropicalis,Mock2,Qmin17,emu,NCBI,0.95623076,0.916132344,1
Candida_zeylanoides,Mock2,Qmin17,emu,NCBI,0.287074576,0.167593155,1
Cryptococcus_gattii_VGI,Mock2,Qmin17,emu,NCBI,0,0,0
Cryptococcus_neoformans_VNIII,Mock2,Qmin17,emu,NCBI,0.083091696,0.043362714,0.99156519
Diplodia_seriata,Mock2,Qmin17,emu,NCBI,0.976327173,0.953749232,1
Fusarium_pseudograminearum,Mock2,Qmin17,emu,NCBI,0.972465354,0.94640639,1
Kluyveromyces_lactis,Mock2,Qmin17,emu,NCBI,0,0,0
Kluyveromyces_marxianus,Mock2,Qmin17,emu,NCBI,0.982853224,0.966284558,1
Kodamaea_ohmeri,Mock2,Qmin17,emu,NCBI,0.983677911,0.967880086,1
Leptosphaeria_maculans,Mock2,Qmin17,emu,NCBI,0.973408017,0.948678674,0.999461113
Penicillium_chrysogenum,Mock2,Qmin17,emu,NCBI,0,0,0
Pichia_kudriavzevii,Mock2,Qmin17,emu,NCBI,0.942633878,0.958715596,0.927082775
Pichia_membranifaciens,Mock2,Qmin17,emu,NCBI,0.577508148,0.406080597,0.999411076
Quambalaria_cyanescens,Mock2,Qmin17,emu,NCBI,0.432325111,0.275774725,1
Rhodotorula_mucilaginosa,Mock2,Qmin17,emu,NCBI,0.87145652,0.772934903,0.998763185
Scedosporium_aurantiacum,Mock2,Qmin17,emu,NCBI,0.259759371,0.149266352,1
Trichomonascus_ciferrii,Mock2,Qmin17,emu,NCBI,0.053996964,0.027747626,1
Trichosporon_asahii,Mock2,Qmin17,emu,NCBI,0.856171291,0.749075078,0.998999517
Tuber_brumale,Mock2,Qmin17,emu,NCBI,0.18079929,0.099383915,1
Wickerhamomyces_anomalus,Mock2,Qmin17,emu,NCBI,0.252638847,0.144583074,1
Yamadazyma_mexicana,Mock2,Qmin17,emu,NCBI,0.974744366,0.950733002,1
Yamadazyma_scolyti,Mock2,Qmin17,emu,NCBI,0.973156933,0.947717293,1
Yarrowia_lipolytica,Mock2,Qmin17,emu,NCBI,0.737067027,0.617226889,0.914655621
Zymoseptoria_tritici,Mock2,Qmin17,emu,NCBI,0.981308411,0.963302752,1
