Species,MockCommunity,MinimumSeqQuality,Database,Classifier,F1_score,Recall,Precision
Pichia_kudriavzevii,Mock1,Qmin15,GSD,emu,0.96794741,0.981,0.955237599
Pichia_membranifaciens,Mock1,Qmin15,GSD,emu,0.870651596,0.770932684,1
Puccinia_graminis_,Mock1,Qmin15,GSD,emu,0.99949975,0.999,1
Puccinia_striiformis_var_tritici,Mock1,Qmin15,GSD,emu,0.987401857,0.982469435,0.992384055
Puccinia_triticina,Mock1,Qmin15,GSD,emu,0.995479658,0.991,1
Pyrenophora_tritici-repentis,Mock1,Qmin15,GSD,emu,0.913359381,0.857,0.977653359
Quambalaria_cyanescens,Mock1,Qmin15,GSD,emu,0.987598076,0.9755,1
Rhodotorula_mucilaginosa,Mock1,Qmin15,GSD,emu,0.998998999,0.998,1
Scedosporium_aurantiacum,Mock1,Qmin15,GSD,emu,0.986828774,0.974,1
Scedosporium_boydii,Mock1,Qmin15,GSD,emu,0.990408884,0.981,1
Sclerotinia_sclerotiorum,Mock1,Qmin15,GSD,emu,0.996487707,0.993,1
Sporisorium_scitamineum,Mock1,Qmin15,GSD,emu,0.957927063,0.919251455,1
Trichomonascus_ciferrii,Mock1,Qmin15,GSD,emu,0.988621997,0.9775,1
Trichosporon_asahii,Mock1,Qmin15,GSD,emu,0.959280307,0.991,0.929528189
Tuber_brumale,Mock1,Qmin15,GSD,emu,0.969989368,0.993,0.948021027
Wickerhamomyces_anomalus,Mock1,Qmin15,GSD,emu,0.992697054,0.9855,1
Yamadazyma_mexicana,Mock1,Qmin15,GSD,emu,0.999749937,0.9995,1
Yamadazyma_scolyti,Mock1,Qmin15,GSD,emu,0.999749937,0.9995,1
Yarrowia_lipolytica,Mock1,Qmin15,GSD,emu,0.962077539,0.9955,0.9308264
Zymoseptoria_tritici,Mock1,Qmin15,GSD,emu,0.992465997,0.99,0.994944311
Aspergillus_flavus,Mock1,Qmin15,GSD,vtd,0.97877716,0.9685,0.98927477
Aspergillus_fumigatus,Mock1,Qmin15,GSD,vtd,0.974819247,0.9775,0.972153158
Asteroma_sp._CCL060,Mock1,Qmin15,GSD,vtd,0.994740796,0.993,0.996487707
Austropuccinia_psidii,Mock1,Qmin15,GSD,vtd,0.9895,0.9895,0.9895
Blastobotrys_adeninivorans,Mock1,Qmin15,GSD,vtd,0.990495248,0.99,0.990990991
