MockSpecies,Mock,MinimumSeqQuality,Classifier,Database,F1_Score,Recall,Precision
Cortinarius_globuliformis,Mock3,Qmin15,aodp,GSD,0.787574521,0.649585921,1
Cryptococcus_gattii_VGI,Mock3,Qmin15,aodp,GSD,0.951082123,0.92183908,0.982241274
Cryptococcus_neoformans_VNIII,Mock3,Qmin15,aodp,GSD,0.98440208,0.975945017,0.993006993
Cryptovalsa_ampelina,Mock3,Qmin15,aodp,GSD,0.995007489,0.993519442,0.9965
Diaporthe_sp._CCL067,Mock3,Qmin15,aodp,GSD,0.993574297,0.991583166,0.995573441
Diplodia_seriata,Mock3,Qmin15,aodp,GSD,0.995449772,0.992323796,0.998595506
Entoleuca_sp._,Mock3,Qmin15,aodp,GSD,0.990027701,0.982407916,0.997766611
Erysiphe_necator,Mock3,Qmin15,aodp,GSD,0.972264029,0.948804029,0.99691358
Eutypa_lata,Mock3,Qmin15,aodp,GSD,0.990944373,0.982771261,0.999254566
Fusarium_proliferatum,Mock3,Qmin15,aodp,GSD,0.986547085,0.983020554,0.99009901
Fusarium_pseudograminearum,Mock3,Qmin15,aodp,GSD,0.979357798,0.9625789,0.996732026
Geotrichum_candidum,Mock3,Qmin15,aodp,GSD,0.993430221,0.99047241,0.996405751
Kluyveromyces_lactis,Mock3,Qmin15,aodp,GSD,0.986488921,0.982418371,0.990593343
Kluyveromyces_marxianus,Mock3,Qmin15,aodp,GSD,0.988638629,0.988835726,0.98844161
Kodamaea_ohmeri,Mock3,Qmin15,aodp,GSD,0.986623283,0.97989228,0.993447397
Leptosphaeria_maculans,Mock3,Qmin15,aodp,GSD,0.96039604,0.925698705,0.997795738
Penicillium_chrysogenum,Mock3,Qmin15,aodp,GSD,0.96337158,0.95913884,0.967641844
Pichia_kudriavzevii,Mock3,Qmin15,aodp,GSD,0.975672215,0.984496124,0.967005076
Pichia_membranifaciens,Mock3,Qmin15,aodp,GSD,0.861499896,0.758088235,0.997581035
Puccinia_graminis_,Mock3,Qmin15,aodp,GSD,0.97377148,0.985356925,0.962455304
Puccinia_striiformis_var_tritici,Mock3,Qmin15,aodp,GSD,0.987205387,0.981258367,0.993224932
Puccinia_triticina,Mock3,Qmin15,aodp,GSD,0.982488143,0.966965889,0.998516871
Pyrenophora_tritici-repentis,Mock3,Qmin15,aodp,GSD,0.918760959,0.863419993,0.981681932
Quambalaria_cyanescens,Mock3,Qmin15,aodp,GSD,0.982884039,0.970016892,0.996097138
Rhodotorula_mucilaginosa,Mock3,Qmin15,aodp,GSD,0.99508917,0.995861355,0.994318182
Scedosporium_aurantiacum,Mock3,Qmin15,aodp,GSD,0.970980392,0.965678627,0.976340694
Scedosporium_boydii,Mock3,Qmin15,aodp,GSD,0.984566819,0.972289574,0.997158082
Sclerotinia_sclerotiorum,Mock3,Qmin15,aodp,GSD,0.984779601,0.971528861,0.998396794
Sporisorium_scitamineum,Mock3,Qmin15,aodp,GSD,0.92498096,0.861653068,0.998355939
Trichomonascus_ciferrii,Mock3,Qmin15,aodp,GSD,0.980104712,0.963954686,0.996805112
Trichosporon_asahii,Mock3,Qmin15,aodp,GSD,0.993315177,0.989639862,0.997017893
Tuber_brumale,Mock3,Qmin15,aodp,GSD,0.992217899,0.987989151,0.996483001
Wickerhamomyces_anomalus,Mock3,Qmin15,aodp,GSD,0.988262911,0.985179407,0.991365777
Yamadazyma_mexicana,Mock3,Qmin15,aodp,GSD,0.993076162,0.992748846,0.993403694
Yamadazyma_scolyti,Mock3,Qmin15,aodp,GSD,0.997069359,0.998695369,0.995448635
