MockSpecies,Mock,MinimumSeqQuality,Classifier,Database,F1_Score,Recall,Precision
Candida_caryicola,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.964785745,0.935802469,0.995621716
Candida_catenulata,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.974588939,0.95601173,0.993902439
Candida_dubliniensis,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0,0,0
Candida_glabrata,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.827953805,0.709284627,0.9943101
Candida_metapsilosis,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0,0,0
Candida_parapsilosis,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.972124493,0.949762031,0.99556541
Candida_tropicalis,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.961325967,0.932142857,0.992395437
Candida_zeylanoides,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.980905619,0.970842333,0.991179713
Cryptococcus_gattii_VGI,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.47972089,0.316091954,0.994575045
Cryptococcus_neoformans_VNIII,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.88642132,0.800114548,0.993598862
Diplodia_seriata,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.946943272,0.899860433,0.999225107
Fusarium_pseudograminearum,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.964294049,0.931469793,0.999516207
Kluyveromyces_lactis,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0,0,0
Kluyveromyces_marxianus,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.970540098,0.945773525,0.996638655
Kodamaea_ohmeri,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.972027972,0.948294434,0.996979992
Leptosphaeria_maculans,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.974493361,0.950579414,0.999641577
Penicillium_chrysogenum,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0,0,0
Pichia_kudriavzevii,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.959715196,0.945367294,0.974505327
Pichia_membranifaciens,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.818576389,0.693382353,0.998940678
Quambalaria_cyanescens,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.91184573,0.838682432,0.998993964
Rhodotorula_mucilaginosa,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.887424807,0.801345059,0.994223363
Scedosporium_aurantiacum,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.941419142,0.890015601,0.999124343
Trichomonascus_ciferrii,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.067661692,0.035015448,1
Trichosporon_asahii,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.945812808,0.899851998,0.996721311
Tuber_brumale,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.845655573,0.733436652,0.998417722
Wickerhamomyces_anomalus,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.960871319,0.929017161,0.994987469
Yamadazyma_mexicana,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.97679112,0.957152274,0.997252747
Yamadazyma_scolyti,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.977007664,0.956294847,0.998637602
Yarrowia_lipolytica,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0,0,0
Zymoseptoria_tritici,Mock3,Qmin17,dnabarcoder,NCBI_NoCd,0.959650303,0.923624595,0.99860042
Aspergillus_flavus,Mock3,Qmin17,emu,NCBI_NoCd,0,0,0
Aspergillus_fumigatus,Mock3,Qmin17,emu,NCBI_NoCd,0.038250361,0.019498085,1
Blastobotrys_adeninivorans,Mock3,Qmin17,emu,NCBI_NoCd,0.967053365,0.936208447,1
Blastobotrys_proliferans,Mock3,Qmin17,emu,NCBI_NoCd,0.984871158,0.970193257,1
Candida_boleticola,Mock3,Qmin17,emu,NCBI_NoCd,0.986960514,0.974900925,0.999322195
Candida_caryicola,Mock3,Qmin17,emu,NCBI_NoCd,0.947839364,0.900850433,1
Candida_catenulata,Mock3,Qmin17,emu,NCBI_NoCd,0.596061398,0.424563722,1
Candida_dubliniensis,Mock3,Qmin17,emu,NCBI_NoCd,0,0,0
Candida_glabrata,Mock3,Qmin17,emu,NCBI_NoCd,0.65514113,0.487144892,1
Candida_metapsilosis,Mock3,Qmin17,emu,NCBI_NoCd,0,0,0
